key,title,year,doi,pubmed_id,venue,reason_not_auto,access_route,status,pdf_path,notes
rayyan-601300083,Explainable NLP Model for Predicting Patient Admissions at Emergency Department Using Triage Notes,2023,10.1109/BigData59044.2023.10386753,,IEEE (BigData 2023),Not on PubMed/PMC; IEEE Xplore paywall,IEEE Xplore via institutional access,retrieved,data/extraction/fulltext_pdfs/rayyan-601300083.pdf,Manually downloaded from IEEE Xplore; title/DOI verified against PDF
rayyan-601300086,Improving Emergency Triage in Crisis Situations: a Hybrid GAN-Boosting Approach With Machine Learning,2025,10.1109/AMCAI66110.2025.11474368,,IEEE (AMCAI 2025),Not on PubMed/PMC; IEEE Xplore paywall,IEEE Xplore via institutional access,retrieved,data/extraction/fulltext_pdfs/rayyan-601300086.pdf,Manually downloaded from IEEE Xplore; title/DOI verified against PDF
rayyan-601300218,Interpretable Machine Learning for Emergency Department Triage: A Systematic Literature Review,2025,10.1109/ICTS67612.2025.11369580,,IEEE (ICTS 2025),Not on PubMed/PMC; IEEE Xplore paywall,IEEE Xplore via institutional access,retrieved,data/extraction/fulltext_pdfs/rayyan-601300218.pdf,Manually downloaded from IEEE Xplore; title/DOI verified against PDF
rayyan-601300220,The role of AI in emergency department triage: An integrative systematic review.,2025,10.1016/j.iccn.2025.104058,40306071,Intensive and Critical Care Nursing (Elsevier),On PubMed but not in PMC,ScienceDirect via institutional access,pending,,
rayyan-601300239,Implementation considerations for the adoption of artificial intelligence in the emergency department.,2024,10.1016/j.ajem.2024.05.020,38820809,American Journal of Emergency Medicine (Elsevier),On PubMed but not in PMC,ScienceDirect via institutional access,pending,,
rayyan-601300248,The applicability of artificial intelligence in managing emergency patients: An umbrella review.,2025,10.1016/j.ienj.2025.101710,41242110,International Emergency Nursing (Elsevier),On PubMed but not in PMC,ScienceDirect via institutional access,pending,,
rayyan-601300262,Clinician Perspectives on Decision Support and AI-based Decision Support in a Pediatric ED.,2024,10.1542/hpeds.2023-007653,39318354,Hospital Pediatrics (AAP),On PubMed but not in PMC,AAP Publications via institutional access,pending,,
rayyan-601300267,Explainable Machine Learning Models for Rapid Risk Stratification in the Emergency Department: A Multicenter Study.,2024,10.1093/jalm/jfad094,38102476,Journal of Applied Laboratory Medicine (Oxford),On PubMed but not in PMC,Oxford Academic via institutional access,pending,,
rayyan-601300293,Machine learning interpretability methods to characterize the importance of hematologic biomarkers in prognosticating patients with suspected infection.,2024,10.1016/j.compbiomed.2024.109251,39393128,Computers in Biology and Medicine (Elsevier),"In PMC (PMC11576231) but NOT in the OA-licensed subset",ScienceDirect via institutional access,retrieved,data/extraction/fulltext_pdfs/rayyan-601300293.pdf,"Manually downloaded from ScienceDirect; title/PII verified against PDF -- NOTE: this is the accepted-manuscript version (pre-typesetting), not the final Version of Record"
rayyan-601300391,Development and Assessment of an Interpretable Machine Learning Triage Tool for Estimating Mortality After Emergency Admissions.,2021,10.1001/jamanetworkopen.2021.18467,34448870,JAMA Network Open,"PMC package (PMC8397930) only contains the supplementary-material PDF, no rendered main-text PDF","JAMA Network Open is fully open-access -- get directly from jamanetwork.com (DOI resolves there), no institutional login needed",retrieved,data/extraction/fulltext_pdfs/rayyan-601300391.pdf,Manually downloaded from JAMA Network Open; title/DOI verified against PDF
rayyan-601300626,Data-driven decision support in hospital resource planning: an artificial intelligence-based model proposal for emergency department demand.,2026,10.1016/j.ijmedinf.2026.106483,42143518,International Journal of Medical Informatics (Elsevier),On PubMed but not in PMC,ScienceDirect via institutional access,pending,,
