key,title,year,decision,doi,pubmed_id
rayyan-601300245,Artificial Intelligence (AI) and Emergency Medicine: Balancing Opportunities and Challenges.,2025,Excluded,10.2196/70903,40802997
rayyan-601300246,Using artificial intelligence and predictive modelling to enable learning healthcare systems (LHS) for pandemic preparedness.,2024,Excluded,10.1016/j.csbj.2024.05.014,38831762
rayyan-601300247,Machine learning-based stratification of mild cognitive impairment in Parkinson's disease: a multicenter cross-sectional analysis.,2025,Excluded,10.1186/s12911-025-03215-0,41094519
rayyan-601300248,The applicability of artificial intelligence in managing emergency patients: An umbrella review.,2025,Included,10.1016/j.ienj.2025.101710,41242110
rayyan-601300249,Machine Learning-Augmented Triage for Sepsis: Real-Time ICU Mortality Prediction Using SHAP-Explained Meta-Ensemble Models.,2025,Included,10.3390/biomedicines13061449,40564166
rayyan-601300250,A machine-learning-based prediction of non-home discharge among acute heart failure patients.,2024,Excluded,10.1007/s00392-023-02209-0,37131097
rayyan-601300251,Lymphoma triage from H&E using AI for improved clinical management.,2024,Excluded,10.1136/jcp-2023-209186,37945334
rayyan-601300252,Improved interpretable machine learning emergency department triage tool addressing class imbalance.,2024,Included,10.1177/20552076241240910,38708185
rayyan-601300253,Clinical Applications of Artificial Intelligence in Uveal Melanoma.,2025,Excluded,10.21873/anticanres.17817,41151907
rayyan-601300254,Machine and Deep Learning Models for Hypoxemia Severity Triage in CBRNE Emergencies.,2024,Excluded,10.3390/diagnostics14232763,39682671
rayyan-601300255,Machine-learning prediction models for any blood component transfusion in hospitalized dengue patients.,2024,Excluded,10.1016/j.htct.2023.09.2365,37996385
rayyan-601300256,Advancements in Artificial Intelligence in Emergency Medicine in Taiwan: A Narrative Review.,2024,Maybe,10.6705/j.jacme.202403_14(1).0002,38487757
rayyan-601300257,FAIM: Fairness-aware interpretable modeling for trustworthy machine learning in healthcare.,2024,Maybe,10.1016/j.patter.2024.101059,39569213
rayyan-601300258,Artificial intelligence for predicting shockable rhythm during cardiopulmonary resuscitation: In-hospital setting.,2024,Maybe,10.1016/j.resuscitation.2024.110325,39029581
rayyan-601300259,"Multimodal artificial intelligence in ophthalmology: Applications, challenges, and future directions.",2026,Excluded,10.1016/j.survophthal.2025.07.003,40683606
rayyan-601300260,Point-of-Care Electroencephalography in Acute Neurological Care: A Narrative Review.,2025,Excluded,10.3390/neurolint17040048,40278419
rayyan-601300261,Emergency Department Length of Stay Classification Based on Ensemble Methods and Rule Extraction.,2024,Excluded,10.3233/SHTI240783,39176843
rayyan-601300262,Clinician Perspectives on Decision Support and AI-based Decision Support in a Pediatric ED.,2024,Included,10.1542/hpeds.2023-007653,39318354
rayyan-601300263,"AI Predictive Model of Mortality and Intensive Care Unit Admission in the COVID-19 Pandemic: Retrospective Population Cohort Study of 12,000 Patients.",2025,Excluded,10.2196/70674,40638909
rayyan-601300264,Deep learning identifies cardiac coupling between mother and fetus during gestation.,2022,Excluded,10.3389/fcvm.2022.926965,35966548
rayyan-601300265,Severity and mortality prediction models to triage Indian COVID-19 patients.,2022,Excluded,10.1371/journal.pdig.0000020,36812530
rayyan-601300266,An integrated language-vision foundation model for conversational diagnostics and triaging in primary eye care.,2025,Excluded,10.1016/j.xcrm.2025.102476,41349528
rayyan-601300267,Explainable Machine Learning Models for Rapid Risk Stratification in the Emergency Department: A Multicenter Study.,2024,Included,10.1093/jalm/jfad094,38102476
rayyan-601300268,Assessment of Machine Learning-Based Medical Directives to Expedite Care in Pediatric Emergency Medicine.,2022,Maybe,10.1001/jamanetworkopen.2022.2599,35294539
rayyan-601300269,Improving triage performance in emergency departments using machine learning and natural language processing: a systematic review.,2024,Included,10.1186/s12873-024-01135-2,39558255
rayyan-601300270,AutoScore-Ordinal: an interpretable machine learning framework for generating scoring models for ordinal outcomes.,2022,Excluded,10.1186/s12874-022-01770-y,36333672
rayyan-601300271,Machine learning-based improvement of an online rheumatology referral and triage system.,2022,Excluded,10.3389/fmed.2022.954056,35935756
rayyan-601300272,Development and validation of AI-based triage support algorithms for prevention of intradialytic hypotension.,2023,Excluded,10.1007/s40620-023-01741-6,37707692
rayyan-601300273,Development and Validation of a Model to Quantify Injury Severity in Real Time.,2023,Excluded,10.1001/jamanetworkopen.2023.36196,37812422
rayyan-601300274,Smart emergency care: a narrative review of predictive machine learning models.,2025,Excluded,10.21037/atm-25-83,41211108
rayyan-601300275,Leveraging Machine Learning and Artificial Intelligence in Cancer Diagnostics Imaging: A Systematic Review.,2025,Excluded,10.7759/cureus.98540,41492615
rayyan-601300276,Deep learning for precise diagnosis and subtype triage of drug-resistant tuberculosis on chest computed tomography.,2024,Excluded,10.1002/mco2.487,38469547
rayyan-601300277,Risk factors and machine learning model for predicting hospitalization outcomes in geriatric patients with dementia.,2022,Excluded,10.1002/trc2.12351,36204350
rayyan-601300278,"Ensuring fair, safe, and interpretable artificial intelligence-based prediction tools in a real-world oncological setting.",2023,Excluded,10.1038/s43856-023-00317-6,37349541
rayyan-601300279,Explainable Deep Learning Model for Predicting Serious Adverse Events in Hospitalized Geriatric Patients Within 72 Hours.,2024,Excluded,10.2147/CIA.S460562,38883992
rayyan-601300280,Development and validation of an interpretable machine learning model for predicting post-stroke epilepsy.,2024,Excluded,10.1016/j.eplepsyres.2024.107397,38976953
rayyan-601300281,Artificial intelligence for sepsis management in the emergency department.,2026,Maybe,10.1186/s12879-026-12780-2,41680670
rayyan-601300282,Interpretable machine learning models for prolonged Emergency Department wait time prediction.,2025,Included,10.1186/s12913-025-12535-w,40102847
rayyan-601300283,The promise and limitations of artificial intelligence in CTPA-based pulmonary embolism detection.,2025,Excluded,10.3389/fmed.2025.1514931,40177281
rayyan-601300284,AI-Powered Early Detection of Sepsis in Emergency Medicine.,2025,Maybe,10.3390/life15101576,41157249
rayyan-601300285,Machine learning-based clinical prediction model and multi-omics integration for assessing pancreatic cancer risk in new-onset diabetes.,2026,Excluded,10.1186/s12967-026-07767-1,41618402
rayyan-601300286,Personalized Case- and Evidence-Based TBI Prognosis with Small Language Models.,2025,Excluded,10.1109/bhi67747.2025.11269507,42111234
rayyan-601300287,The application of machine learning for identifying frailty in older patients during hospital admission.,2024,Excluded,10.1186/s12911-024-02684-z,39334179
rayyan-601300288,Artificial Intelligence in Prehospital Emergency Care: Advancing Triage and Destination Decisions for Time-Critical Conditions.,2025,Maybe,10.7759/cureus.91542,41049914
rayyan-601300289,Unified ICH quantification and prognosis prediction in NCCT images using a multi-task interpretable network.,2023,Excluded,10.3389/fnins.2023.1118340,36998725
rayyan-601300290,Computed tomography-based COVID-19 triage through a deep neural network using mask-weighted global average pooling.,2023,Excluded,10.3389/fcimb.2023.1116285,36936770
rayyan-601300291,Predicting Discharge Destination From Inpatient Rehabilitation Using Machine Learning.,2025,Excluded,10.1097/PHM.0000000000002680,39787345
rayyan-601300292,Developing a predictive model for septic shock risk in acute pancreatitis patients using interpretable machine learning algorithms.,2025,Excluded,10.1177/20552076251346361,40433305
rayyan-601300293,Machine learning interpretability methods to characterize the importance of hematologic biomarkers in prognosticating patients with suspected infection.,2024,Included,10.1016/j.compbiomed.2024.109251,39393128
rayyan-601300294,Deep learning referral suggestion and tumour discrimination using explainable artificial intelligence applied to multiparametric MRI.,2023,Excluded,10.1007/s00330-023-09710-0,37150781
rayyan-601300295,Clinical factors associated with rapid treatment of sepsis.,2021,Excluded,10.1371/journal.pone.0250923,33956846
rayyan-601300296,Explainable COVID-19 Detection Based on Chest X-rays Using an End-to-End RegNet Architecture.,2023,Excluded,10.3390/v15061327,37376626
rayyan-601300297,Rapid Assessment of COVID-19 Mortality Risk with GASS Classifiers.,2023,Excluded,10.3390/biomedicines11030831,36979810
rayyan-601300298,Explainable deep learning model to predict invasive bacterial infection in febrile young infants: A retrospective study.,2023,Excluded,10.1016/j.ijmedinf.2023.105007,36731394
rayyan-601300299,Predicting acute clinical deterioration with interpretable machine learning to support emergency care decision making.,2023,Maybe,10.1038/s41598-023-40661-0,37604974
rayyan-601300300,Study of Patient and Physician Attitudes Toward Automated Prognostic Models for Patients With Metastatic Cancer.,2023,Excluded,10.1200/CCI.23.00023,37478393
rayyan-601300301,Exploring AI Approaches for Breast Cancer Detection and Diagnosis: A Review Article.,2025,Excluded,10.2147/BCTT.S550307,41141218
rayyan-601300302,Predicting Acute Onset of Heart Failure Complicating Acute Coronary Syndrome: An Explainable Machine Learning Approach.,2023,Excluded,10.1016/j.cpcardiol.2022.101480,36336116
rayyan-601300303,Salivary Molecular Spectroscopy with Machine Learning Algorithms for a Diagnostic Triage for Amelogenesis Imperfecta.,2024,Excluded,10.3390/ijms25179464,39273410
rayyan-601300304,Artificial Intelligence to Predict Billing Code Levels of Emergency Department Encounters.,2025,Maybe,10.1016/j.annemergmed.2024.07.011,39320279
rayyan-601300305,Benchmarking of Machine Learning classifiers on plasma proteomic for COVID-19 severity prediction through interpretable artificial intelligence.,2023,Excluded,10.1016/j.artmed.2023.102490,36868685
rayyan-601300306,Machine Learning Identifies Variation in Timing of Palliative Care Consultations Among Traumatic Brain Injury Patients.,2024,Excluded,10.21203/rs.3.rs-4290808/v1,38746163
rayyan-601300307,"The Prognostic Value of the CALLY Index in Sepsis: A Composite Biomarker Reflecting Inflammation, Nutrition, and Immunity.",2025,Excluded,10.3390/diagnostics15081026,40310418
rayyan-601300308,Transforming nephrology through artificial intelligence: a state-of-the-art roadmap for clinical integration.,2026,Excluded,10.1093/ckj/sfag004,41704427
rayyan-601300309,Using Explainable Artificial Intelligence Models (ML) to Predict Suspected Diagnoses as Clinical Decision Support.,2022,Excluded,10.3233/SHTI220529,35612150
rayyan-601300310,Expanding the applications of artificial intelligence in emergency radiology: Advancing precision medicine and resource efficiency.,2026,Maybe,10.4329/wjr.v18.i1.117814,41640709
rayyan-601300311,The clinician-AI interface: intended use and explainability in FDA-cleared AI devices for medical image interpretation.,2024,Excluded,10.1038/s41746-024-01080-1,38531952
rayyan-601300312,Deep learning-based natural language processing for detecting medical symptoms and histories in emergency patient triage.,2024,Maybe,10.1016/j.ajem.2023.11.063,38096637
rayyan-601300313,Pediatric Electrocardiogram-Based Deep Learning to Predict Secundum Atrial Septal Defects.,2025,Excluded,10.1007/s00246-024-03540-7,38953953
rayyan-601300314,An Artificial Intelligence Model for Predicting Trauma Mortality Among Emergency Department Patients in South Korea: Retrospective Cohort Study.,2023,Excluded,10.2196/49283,37642984
rayyan-601300315,Machine learning and LACE index for predicting 30-day readmissions after heart failure hospitalization in elderly patients.,2022,Excluded,10.1007/s11739-022-02996-w,35661313
rayyan-601300316,"Artificial Intelligence in Stroke Care: A Narrative Review of Diagnostic, Predictive, and Workflow Applications.",2025,Excluded,10.7759/cureus.93430,41170263
rayyan-601300317,Artificial intelligence in acute and critical care: current challenges and strategic solutions.,2026,Excluded,10.3389/fpubh.2026.1818726,42040067
rayyan-601300318,Artificial Intelligence for Predicting Difficult Airways: A Review.,2025,Excluded,10.3390/jcm14238600,41375910
rayyan-601300319,Explainable Artificial Intelligence for Ovarian Cancer: Biomarker Contributions in Ensemble Models.,2025,Excluded,10.3390/biology14111487,41300279
rayyan-601300320,Machine Learning Model Reveals Determinators for Admission to Acute Mental Health Wards From Emergency Department Presentations.,2024,Excluded,10.1111/inm.13402,39209760
rayyan-601300321,A machine-learning parsimonious multivariable predictive model of mortality risk in patients with Covid-19.,2021,Excluded,10.1038/s41598-021-99905-6,34707184
rayyan-601300322,Detecting total hip arthroplasty dislocations using deep learning: clinical and Internet validation.,2022,Excluded,10.1007/s10140-022-02060-2,35608786
rayyan-601300323,"Modernizing Colorectal Cancer Care With Artificial Intelligence: Real-Time Detection, Radiomics, and Digital Pathology.",2025,Excluded,10.7759/cureus.95178,41132477
rayyan-601300324,Machine learning clinical decision support systems for surveillance: a case study on pertussis and RSV in children.,2023,Excluded,10.3389/fped.2023.1112074,37284288
rayyan-601300325,Early Triage of Critically Ill Adult Patients With Mushroom Poisoning: Machine Learning Approach.,2023,Excluded,10.2196/44666,36943366
rayyan-601300326,Assessment of Sepsis Risk at Admission to the Emergency Department: Clinical Interpretable Prediction Model.,2024,Included,10.3390/diagnostics14050457,38472930
rayyan-601300327,Mind Meets Machine: A Narrative Review of Artificial Intelligence Role in Clinical Psychology Practice.,2025,Excluded,10.1002/cpp.70191,41346105
rayyan-601300328,Prognostic Models in Heart Failure: Hope or Hype?,2025,Excluded,10.3390/jpm15080345,40863407
rayyan-601300329,A Machine Learning-Based Guide for Repeated Laboratory Testing in Pediatric Emergency Departments.,2025,Maybe,10.3390/diagnostics15151885,40804850
rayyan-601300330,Potentially inappropriate polypharmacy is an important predictor of 30-day emergency hospitalisation in older adults: a machine learning feature validation study.,2025,Excluded,10.1093/ageing/afaf156,40479613
rayyan-601300331,Human-centred AI for emergency cardiac care: Evaluating RAPIDx AI with PROLIFERATE_AI.,2025,Maybe,10.1016/j.ijmedinf.2025.105810,39893766
rayyan-601300332,A risk prediction model for efficient intubation in the emergency department: A 4-year single-center retrospective analysis.,2024,Excluded,10.1002/emp2.13190,38827500
rayyan-601300334,Explainable Machine Learning Framework for Dynamic Monitoring of Disease Prognostic Risk: Retrospective Cohort Study.,2025,Excluded,10.2196/65585,41084807
rayyan-601300335,Predicting Hemodynamic and Pulmonary Decompensation with Deep Neural Networks: Performance and Explainability.,2024,Excluded,10.1109/EMBC53108.2024.10782095,40039697
rayyan-601300336,Artificial Intelligence-Driven Personalization in Breast Cancer Screening: From Population Models to Individualized Protocols.,2025,Excluded,10.3390/cancers17172901,40940998
rayyan-601300337,Area Deprivation and Patient Complexity Predict Low-Value Healthcare Utilization in Persons With Heart Failure.,2025,Excluded,10.1097/NNR.0000000000000794,39616433
rayyan-601300338,"LI-RADS-aligned artificial intelligence for liver cancer diagnosis: methods, evidence, and clinical readiness.",2025,Excluded,10.1007/s00261-025-05329-5,41417075
rayyan-601300339,Explainable detection of myocardial infarction using deep learning models with Grad-CAM technique on ECG signals.,2022,Excluded,10.1016/j.compbiomed.2022.105550,35533457
rayyan-601300340,Human performance evaluation of a pediatric artificial intelligence sepsis model.,2025,Excluded,10.1093/jamia/ocaf106,40694809
rayyan-601300341,Interpretable machine learning for in-hospital mortality risk prediction in patients with ST-elevation myocardial infarction after percutaneous coronary interventions.,2024,Excluded,10.1016/j.compbiomed.2024.107953,38224666
rayyan-601300342,Application of interpretable machine learning algorithms to predict acute kidney injury in patients with cerebral infarction in ICU.,2024,Maybe,10.1016/j.jstrokecerebrovasdis.2024.107729,38657830
rayyan-601300343,Improving Risk Prediction of Methicillin-Resistant Staphylococcus aureus Using Machine Learning Methods With Network Features: Retrospective Development Study.,2024,Excluded,10.2196/48067,38875598
rayyan-601300344,COVID-19 Risk Stratification and Mortality Prediction in Hospitalized Indian Patients: Harnessing clinical data for public health benefits.,2022,Excluded,10.1371/journal.pone.0264785,35298502
rayyan-601300345,Predicting Asthma Exacerbations Using Machine Learning Models.,2025,Excluded,10.1007/s12325-024-03053-y,39556295
rayyan-601300346,Prediction of hospitalization and waiting time within 24 hours of emergency department patients with unstructured text data.,2024,Excluded,10.1007/s10729-023-09660-5,37921927
rayyan-601300347,"Artificial Intelligence in Traumatic Brain Injury: A Systematic Review of Prognostic, Diagnostic, and Monitoring Applications.",2025,Excluded,10.7759/cureus.96600,41393607
rayyan-601300348,Machine learning prediction of hospital discharge disposition for inpatients with acute ischemic stroke following mechanical thrombectomy in the United States.,2024,Excluded,10.1016/j.jstrokecerebrovasdis.2023.107489,37980845
rayyan-601300349,MOCRA: A multi-algorithm clinical decision support system for the early detection of ovarian cancer.,2025,Excluded,10.1186/s13048-025-01929-3,41422048
rayyan-601300350,Syndromic surveillance of population-level COVID-19 burden with cough monitoring in a hospital emergency waiting room.,2024,Maybe,10.3389/fpubh.2024.1279392,38605877
rayyan-601300351,Interpretable machine learning-derived nomogram model for early detection of diabetic retinopathy in type 2 diabetes mellitus: a widely targeted metabolomics study.,2022,Excluded,10.1038/s41387-022-00216-0,35931671
rayyan-601300352,Machine Learning for Personalized Prediction of Electrocardiogram (EKG) Use in Emergency Care.,2025,Maybe,10.3390/jpm15080358,40863420
rayyan-601300353,Explaining alerts from a pediatric risk prediction model using clinical text.,2025,Excluded,10.1093/jamia/ocaf121,40700686
rayyan-601300354,Machine learning of microvolt-level 12-lead electrocardiogram can help distinguish takotsubo syndrome and acute anterior myocardial infarction.,2022,Maybe,10.1016/j.cvdhj.2022.07.001,36046427
rayyan-601300355,Leveraging Machine Learning to Identify Subgroups of Misclassified Patients in the Emergency Department: Multicenter Proof-of-Concept Study.,2024,Excluded,10.2196/56382,39451101
rayyan-601300356,Can a Deep Learning Algorithm Improve Detection of Occult Scaphoid Fractures in Plain Radiographs? A Clinical Validation Study.,2023,Excluded,10.1097/CORR.0000000000002612,36881548
rayyan-601300357,"Artificial Intelligence in Colon Cancer: Advances, Challenges, and Future Perspectives.",2026,Excluded,10.21614/chirurgia.3240,41789607
rayyan-601300358,Machine learning identifies ICU outcome predictors in a multicenter COVID-19 cohort.,2021,Maybe,10.1186/s13054-021-03720-4,34404458
rayyan-601300359,Navigating extreme class imbalance in suicide risk prediction.,2025,Excluded,10.3389/fpsyt.2025.1679618,41601506
rayyan-601300360,Clinically Interpretable Machine Learning Models for Early Prediction of Mortality in Older Patients with Multiple Organ Dysfunction Syndrome: An International Multicenter Retrospective Study.,2023,Excluded,10.1093/gerona/glac107,35657011
rayyan-601300361,A COVID-19 Risk Assessment Decision Support System for General Practitioners: Design and Development Study.,2020,Excluded,10.2196/19786,32540845
rayyan-601300362,"Integrating Feature Selection, Machine Learning, and SHAP Explainability to Predict Severe Acute Pancreatitis.",2025,Excluded,10.3390/diagnostics15192473,41095692
rayyan-601300363,Machine learning-based triage model for elderly traumatic brain injury patients in Chinese emergency department.,2026,Maybe,10.3389/fneur.2026.1817051,42266581
rayyan-601300364,Interpretable Machine Learning Models for Predicting Critical Outcomes in Patients with Suspected Urinary Tract Infection with Positive Urine Culture.,2024,Excluded,10.3390/diagnostics14171974,39272758
rayyan-601300365,COVID-19 detection based on self-supervised transfer learning using chest X-ray images.,2023,Excluded,10.1007/s11548-022-02813-x,36538184
rayyan-601300366,Deep Learning for Emergency Department Sustainability: Interpretable Prediction of Revisit.,2026,Included,10.3390/healthcare14040464,41753977
rayyan-601300367,Personalised machine-learning decision support for suicidal thoughts and behaviours in the psychiatric emergency department.,2025,Excluded,10.1016/j.psychres.2025.116698,40840196
rayyan-601300368,Development and validation of an interpretable machine learning scoring tool for estimating time to emergency readmissions.,2022,Excluded,10.1016/j.eclinm.2022.101315,35284804
rayyan-601300369,COVID-19 severity analysis for clinical decision support based on machine learning approach.,2025,Excluded,10.1038/s41598-025-27277-2,41360833
rayyan-601300370,"AI-Assisted Pneumonia Detection, Localisation and Report Generation from Chest X-rays.",2026,Excluded,10.64898/2026.03.20.26348879,41929300
rayyan-601300371,Predictive modeling of hospital emergency department demand using artificial intelligence: A systematic review.,2026,Excluded,10.1016/j.ijmedinf.2025.106215,41401760
rayyan-601300372,Patient-Representing Population's Perceptions of GPT-Generated Versus Standard Emergency Department Discharge Instructions: Randomized Blind Survey Assessment.,2024,Excluded,10.2196/60336,39094112
rayyan-601300373,Prehospital Risk Stratification Using Unsupervised Machine Learning in STEMI.,2026,Excluded,10.1111/eci.70214,42029002
rayyan-601300374,Establishing methodological standards for the development of artificial intelligence-based Clinical Decision Support in emergency medicine.,2025,Maybe,10.1007/s43678-024-00826-w,39918783
rayyan-601300375,An interpretable deep-learning model for early prediction of sepsis in the emergency department.,2021,Maybe,10.1016/j.patter.2020.100196,33659912
rayyan-601300376,XDL-ESI: Electrophysiological Sources Imaging via explainable deep learning framework with validation on simultaneous EEG and iEEG.,2024,Excluded,10.1016/j.neuroimage.2024.120802,39173694
rayyan-601300377,Artificial Intelligence-powered tiered early warning framework addressing high false alarm rates for in-hospital mortality prediction.,2026,Excluded,10.1038/s41746-026-02522-8,41832244
rayyan-601300378,Development of a Machine Learning-Based Prescriptive Tool to Address Racial Disparities in Access to Care After Penetrating Trauma.,2023,Excluded,10.1001/jamasurg.2023.2293,37610746
rayyan-601300379,An explanatory machine learning framework for studying pandemics: The case of COVID-19 emergency department readmissions.,2022,Excluded,10.1016/j.dss.2022.113730,35068629
rayyan-601300380,AI-Aided Triage for GSWH: Validating an Interpretable HCT-Based Mortality Model.,2026,Excluded,10.1177/08977151261429994,41805068
rayyan-601300381,Artificial Intelligence in Oral and Maxillofacial Surgery: Integrating Clinical Innovation and Workflow Optimization.,2026,Excluded,10.3390/jcm15020427,41598365
rayyan-601300382,Large Language Models Demonstrate Distinct Personality Profiles.,2025,Excluded,10.7759/cureus.84706,40551914
rayyan-601300383,Diagnosis of Acute Central Dizziness With Simple Clinical Information Using Machine Learning.,2021,Excluded,10.3389/fneur.2021.691057,34322084
rayyan-601300384,Using machine learning to assist decision making in the assessment of mental health patients presenting to emergency departments.,2024,Maybe,10.1177/20552076241287364,39534524
rayyan-601300385,Early prediction of patient discharge disposition in acute neurological care using machine learning.,2022,Excluded,10.1186/s12913-022-08615-w,36284297
rayyan-601300386,Deep significance clustering: a novel approach for identifying risk-stratified and predictive patient subgroups.,2021,Excluded,10.1093/jamia/ocab203,34571540
rayyan-601300387,Foundation model of electronic medical records for adaptive risk estimation.,2025,Excluded,10.1093/gigascience/giaf107,41026508
rayyan-601300388,Machine learning-based prediction of diabetic retinopathy using clinlabomics: a multi-center study.,2026,Excluded,10.1186/s12911-026-03524-y,42116016
rayyan-601300389,Machine learning to predict hospital admission at triage in paediatric emergency care: A meta-analysis.,2026,Excluded,10.1007/s00431-026-06895-6,41912745
rayyan-601300390,Analyzing the Interactions between Environmental Parameters and Cardiovascular Diseases Using Random Forest and SHAP Algorithms.,2023,Excluded,10.31083/j.rcm2411330,39076440
rayyan-601300391,Development and Assessment of an Interpretable Machine Learning Triage Tool for Estimating Mortality After Emergency Admissions.,2021,Included,10.1001/jamanetworkopen.2021.18467,34448870
rayyan-601300392,Grounded large language models for diagnostic prediction in real-world emergency department settings.,2025,Maybe,10.1093/jamiaopen/ooaf119,41127256
rayyan-601300393,Machine Learning Models for Differentiating Causes of Dyspnea in Emergency Department Patients: A Retrospective Study.,2025,Maybe,10.2147/JMDH.S550659,41089741
rayyan-601300394,Evaluation of the Need for Intensive Care in Children With Pneumonia: Machine Learning Approach.,2022,Excluded,10.2196/28934,35084358
rayyan-601300395,Complete Blood Count and Monocyte Distribution Width-Based Machine Learning Algorithms for Sepsis Detection: Multicentric Development and External Validation Study.,2025,Excluded,10.2196/55492,40009841
rayyan-601300396,Prospective and External Validation of Machine Learning Models for Short- and Long-Term Mortality in Acutely Admitted Patients Using Blood Tests.,2024,Excluded,10.3390/jcm13216437,39518575
rayyan-601300397,Interpretable Deep Learning for OCT-Based Diagnosis of Vitreoretinal Lymphoma Versus Uveitis.,2026,Excluded,10.1167/tvst.15.2.30,41746131
rayyan-601300398,AI innovations for ovarian and endometrial cancer diagnosis: Methodological challenges and engineering roadmap.,2026,Excluded,10.1016/j.critrevonc.2026.105298,41895354
rayyan-601300399,Robust and Interpretable AI for Acute Appendicitis: A Simulation-to-Clinical Validation Pipeline.,2026,Excluded,10.1016/j.cmpb.2026.109467,42242041
rayyan-601300400,Integrating machine learning and artificial intelligence in the management of Acinetobacter infections: a narrative review.,2026,Excluded,10.1007/s15010-026-02753-7,41851574
rayyan-601300401,A review of the explainability and safety of conversational agents for mental health to identify avenues for improvement.,2023,Excluded,10.3389/frai.2023.1229805,37899961
rayyan-601300402,Machine Learning Models to Predict Withdrawal of Life-Sustaining Therapy in Patients With Severe Traumatic Brain Injury.,2025,Excluded,10.1212/WNL.0000000000214249,41071965
rayyan-601300403,Violence detection explanation via semantic roles embeddings.,2020,Excluded,10.1186/s12911-020-01237-4,33059690
rayyan-601300404,Using explainable machine learning to identify patients at risk of reattendance at discharge from emergency departments.,2021,Excluded,10.1038/s41598-021-00937-9,34728706
rayyan-601300405,"EVALUATION OF PROGNOSTIC RISK MODELS BASED ON AGE AND COMORBIDITY IN SEPTIC PATIENTS: INSIGHTS FROM MACHINE LEARNING AND TRADITIONAL METHODS IN A LARGE-SCALE, MULTICENTER, RETROSPECTIVE STUDY.",2025,Excluded,10.1097/SHK.0000000000002562,39965627
rayyan-601300406,Characteristics and Admission Preferences of Pediatric Emergency Patients and Their Waiting Time Prediction Using Electronic Medical Record Data: Retrospective Comparative Analysis.,2023,Maybe,10.2196/49605,37910168
rayyan-601300407,Machine learning enables early risk stratification of hymenopteran stings: evidence from a tropical multicenter cohort.,2025,Maybe,10.3389/fpubh.2025.1664606,41229473
rayyan-601300408,"A study of ""left against medical advice"" emergency department patients: an optimized explainable artificial intelligence framework.",2024,Maybe,10.1007/s10729-024-09684-5,39138745
rayyan-601300409,Radiogenomics: transforming lung cancer care through non-invasive imaging and genomic integration.,2025,Excluded,10.1007/s12032-025-03118-0,41236645
rayyan-601300410,Trust Your Neighbors: Multimodal Patient Retrieval for TBI Prognosis.,2025,Excluded,10.1109/JBHI.2025.3622508,41359698
rayyan-601300411,Using Machine Learning to Predict Mortality for COVID-19 Patients on Day 0 in the ICU.,2021,Maybe,10.3389/fdgth.2021.681608,35098205
rayyan-601300412,MultiTask learning AI system to assist BCC diagnosis with dual explanation.,2026,Excluded,10.1038/s41598-026-40229-8,42156415
rayyan-601300413,Enhanced diagnostic interpretation of the MoCA using machine learning.,2026,Excluded,10.3389/fnins.2026.1679649,41799879
rayyan-601300414,"Identifying key risk factors for intentional self-harm, including suicide, among a cohort of people prescribed opioid agonist treatment: A predictive modelling study.",2025,Excluded,10.1111/add.70095,40415419
rayyan-601300415,Machine learning-based mortality prediction models for emergency department patients: a comparative analysis.,2026,Excluded,10.3389/fmed.2026.1721101,41695176
rayyan-601300416,Differentiation of Active Corneal Infections from Healed Scars Using Deep Learning.,2022,Excluded,10.1016/j.ophtha.2021.07.033,34352302
rayyan-601300417,iMIL4PATH: A Semi-Supervised Interpretable Approach for Colorectal Whole-Slide Images.,2022,Excluded,10.3390/cancers14102489,35626093
rayyan-601300418,Analysis of hematological indicators via explainable artificial intelligence in the diagnosis of acute heart failure: a retrospective study.,2024,Included,10.3389/fmed.2024.1285067,38633310
rayyan-601300419,POTTER-ICU: An artificial intelligence smartphone-accessible tool to predict the need for intensive care after emergency surgery.,2022,Excluded,10.1016/j.surg.2022.03.023,35489978
rayyan-601300421,Evaluation of techniques to improve a deep learning algorithm for the automatic detection of intracranial haemorrhage on CT head imaging.,2023,Excluded,10.1186/s41747-023-00330-3,37032417
rayyan-601300422,Machine Learning-Based Prediction for High Health Care Utilizers by Using a Multi-Institutional Diabetes Registry: Model Training and Evaluation.,2024,Excluded,10.2196/58463,39418089
rayyan-601300423,"The Role of Artificial Intelligence in Improving Diagnosis, Management, and Outcomes of Acute Myocardial Ischemia: A Systematic Review.",2025,Excluded,10.7759/cureus.98865,41523481
rayyan-601300424,"Interpretable Deep Learning System for Identifying Critical Patients Through the Prediction of Triage Level, Hospitalization, and Length of Stay: Prospective Study.",2024,Excluded,10.2196/48862,38557661
rayyan-601300425,An explainable machine learning approach for hospital emergency department visits forecasting using continuous training and multi-model regression.,2024,Maybe,10.1016/j.cmpb.2024.108033,38278030
rayyan-601300426,Accurate prediction of sepsis from pediatric emergency department to PICU using a machine-learning model.,2025,Maybe,10.3389/fped.2025.1610187,41142005
rayyan-601300427,Diagnostic triage in patients with central lumbar spinal stenosis using a deep learning system of radiographs.,2022,Excluded,10.3171/2021.11.SPINE211136,35061993
rayyan-601300428,A pioneering artificial intelligence tool to predict treatment outcomes in ovarian cancer via diagnostic laparoscopy.,2025,Excluded,10.1038/s41598-025-98434-w,40281006
