key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-601300068,Emergency Department Triage Hospitalization Prediction Based on Machine Learning and Rule Extraction,2023,,,"2023 IEEE EMBS Special Topic Conference on Data Science and Engineering in Healthcare, Medicine and Biology",,,,147-148,W. A. Sulaiman and A. Nicolaou and N. Prentza and C. Stylianides and A. Panayides and I. Constantinou and Z. Antoniou and A. Kakas and E. Kyriacou and L. Palazis and T. Kyprianouv and C. S. Pattichis,,,IEEE,,"The objective of this work was to investigate the usefulness of explainable AI (XAI) functionality in the Emergency Department (ED) triage hospitalization prediction modelling based on machine learning and rule extraction. Prediction modelling was carried out using the MIMIC-IV-ED dataset that contains over 400,000 ED visits for predicting hospitalisation Yes vs No (discharged). The Gradient Boosting (GB) prediction modelling gave the best performance achieving an accuracy, sensitivity and specificity of 83%, 82% and 84% respectively. These results are comparable with previous studies published in the literature. Subsequently, interpretable rules were extracted with a high precision threshold, demonstrating the rules’ overall accuracy in replicating the model’s behaviour. Further work is needed to validate the rules extracted with the ED medical experts as well as to benchmark the findings with other models and studies.Clinical Relevance: The use of explainable AI (XAI) in predicting hospitalization outcomes in the Emergency Department (ED) using machine learning and rule extraction, has the potential to improve clinical decision-making.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Included""}",10.1109/IEEECONF58974.2023.10405176,"",,
rayyan-601300069,Early and Accurate Diagnosis of Ectopic Pregnancy: A SHAP-Based Explainable Machine Learning Approach,2026,,,IEEE Access,2169-3536,14,,80511-80530,G. Kocun and I. Yelmen and M. Zontul and F. Yildirim,,,IEEE,,"Ectopic pregnancy (EP) is a significant cause of maternal morbidity and mortality, particularly in the first trimester. It occurs when a fertilized ovum implants outside the uterine cavity, with the fallopian tubes being the most common location. Early and accurate diagnosis is critical to prevent complications such as tubal rupture and hemorrhage. Traditional diagnostic methods rely on transvaginal ultrasound (TVUSG) and serial  $\beta $ -hCG measurements, but these approaches can sometimes yield inconclusive results. Recent progress in artificial intelligence has demonstrated potential for improving the precision of ectopic pregnancy detection. This study examines the use of artificial intelligence-based classification models to predict pregnancy outcomes using routinely available clinical data. The dataset comprises 310 patient records collected from real-world clinical practice. Several classification approaches were evaluated, with particular emphasis on tree-based ensemble models. Experimental results indicate that the LightGBM DART model outperformed the other evaluated classifiers, achieving the highest overall performance with an accuracy of 0.9161, a macro-AUC of 0.9409, and a balanced accuracy of 0.9080, followed by CatBoost and Histogram-based Gradient Boosting models. To enhance model transparency and clinical interpretability, Shapley Additive Explanations (SHAP) were applied to identify the most influential features contributing to model predictions. These findings suggest that explainable artificial intelligence (XAI)-based predictive models may support early and accurate diagnosis during the early follow-up period (Day 0–12), assist clinicians in timely decision-making, and potentially improve patient management, rather than serving as a standalone tool for initial Day-0 triage.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/ACCESS.2026.3692735,Clinical decision support;ectopic pregnancy;explainable artificial intelligence;LightGBM DART;machine learning;maternal health;medical diagnosis;predictive modeling;SHAP,,
rayyan-601300070,AI-Powered E-Triage Systems: Enhancing Healthcare Efficiency Through Intelligent Clinical Decision Support,2026,,,2026 International Conference on AI Innovations and Industry (ICAIII),,,,1-7,M. Elsersy and A. Abdelwahab,,,IEEE,,"Artificial Intelligence (AI)-powered e-triage systems are transforming patient intake and clinical decision-making by automating workflows and improving diagnostic precision. These systems address critical challenges in emergency and outpatient settings, where rapid assessment and prioritization are crucial for delivering optimal care. This paper introduces an integrated architecture comprising four core components: a Data Ingestion Module that consolidates patient information from electronic health records (EHRs), wearable devices, and intake forms; an AI Triage Engine employing machine learning algorithms to evaluate patient urgency and predict risk; a Documentation Generator utilizing natural language processing (NLP) for automated admission reporting; and a Prescription Assistant that recommends evidence-based treatments aligned with clinical guidelines. Real-world deployments in hospitals across the UAE and GCC have demonstrated substantial operational improvements, including a 45 % reduction in documentation time and an 82 % increase in patient prioritization accuracy. These advancements not only enhance patient outcomes through early detection of critical conditions but also alleviate clinician workload, reducing burnout and cognitive strain. Key performance indicators (KPIs) such as diagnostic accuracy, patient throughput, and prescription error rates validate the system's effectiveness and scalability. Despite these benefits, challenges remain in ensuring data privacy compliance, mitigating algorithmic bias, and achieving seamless integration with existing EHR platforms. Future directions include incorporating real-time analytics, expanding wearable device interoperability, enabling multilingual support, and adopting human-in-the-loop models to maintain ethical and clinical robustness. By addressing these barriers, AI-powered e-triage systems can become a cornerstone of modern healthcare, delivering adaptive, efficient, and patient-centric care at scale.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/ICAIII69475.2026.11521349,AI in Healthcare;E-Triage Systems;Clinical Decision Support;Machine Learning;Healthcare Automation,,
rayyan-601300072,An Automated Approach for Timely Diagnosis and Prognosis of Coronavirus Disease,2021,,,2021 International Joint Conference on Neural Networks (IJCNN),2161-4407,,,1-8,A. R. Ali and M. Budka,,,IEEE,,"Since the outbreak of Coronavirus Disease 2019 (COVID-19), most of the impacted patients have been diagnosed with high fever, dry cough, and soar throat leading to severe pneumonia. Hence, to date, the diagnosis of COVID-19 from lung imaging is proved to be a major evidence for early diagnosis of the disease. Although nucleic acid detection using real-time reverse-transcriptase polymerase chain reaction (rRT-PCR) remains a gold standard for the detection of COVID-19, the proposed approach focuses on the automated diagnosis and prognosis of the disease from a non-contrast chest computed tomography (CT) scan for timely diagnosis and triage of the patient. The prognosis covers the quantification and assessment of the disease to help hospitals with the management and planning of crucial resources, such as medical staff, ventilators and intensive care units (ICUs) capacity. The approach utilises deep learning techniques for automated quantification of severity of COVID-19 disease via measuring the area of multiple rounded ground-glass opacities (GGO) and consolidations in the periphery (CP) of the lungs and accumulating them to form a severity score. The severity of the disease can be correlated with the medicines prescribed during the triage to assess the effectiveness of the treatment. The proposed approach shows promising results where the classification model achieved 93% accuracy on hold-out data.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/IJCNN52387.2021.9533786,assessment of treatment;computed tomography;explainable AI;diagnostic imaging;quantification of disease;radiography,,
rayyan-601300073,Triage Level Prediction Using Machine Learning with Tree-Based Gradient Boosting Algorithms,2025,,,"2025 IEEE CHILEAN Conference on Electrical, Electronics Engineering, Information and Communication Technologies (CHILECON)",2832-1537,,,1-6,J. Moya-Carvajal and F. Tirado and X. A. López-Cortés and A. M. C. Silva,,,IEEE,,"Triage in emergency departments (EDs) is fundamental in prioritizing patient care and optimizing the allocation of limited healthcare resources. However, conventional triage systems remain susceptible to inconsistencies such as undertriage and overtriage, particularly in high-demand clinical environments. This study presents a machine learning-based approach for predicting triage levels using structured data from the emergency unit of a high-complexity regional hospital in Chile. The dataset was filtered to include only adult and dental consultation records, excluding pediatric and obstetric-gynecological cases due to their different clinical characteristics. Patients were categorized into five triage levels (C1 to C5), revealing a strong class imbalance, with C2 and C3 comprising nearly 90% of all records. The study implemented three tree-based gradient boosting algorithms, XGBoost, CatBoost, and LightGBM, in conjunction with Bayesian hyperparameter optimization and SVMSMOTE to mitigate class imbalance. Data preprocessing involved Random Forest-based imputation, standardization of numerical features, and one-hot encoding of categorical variables. The results indicate that XGBoost outperformed CatBoost and LightGBM in terms of overall accuracy (0.73) and weighted F1-score (0.72), particularly in the most frequent categories (C2 and C3). CatBoost, while exhibiting slightly lower global accuracy, demonstrated greater sensitivity in the minority class C1. However, all three models showed limitations in predicting the C5 category. The main contribution of this work is to demonstrate the feasibility and limitations of multiclass (C1–C5) triage prediction using gradient boosting models with Bayesian optimization and SHAP interpretability under extreme class imbalance.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Included""}",10.1109/CHILECON66915.2025.11476096,Triage of patients;Emergency departments;Clinical decision support system;Machine Learning,,
rayyan-601300074,Early Prediction of In-Hospital Mortality in Emergency Departments Using Ensemble Machine Learning,2026,,,"2026 6th International Conference on Innovative Research in Applied Science, Engineering and Technology (IRASET)",,,,1-6,C. B. Jdira and Y. Yaddaden and M. -D. Rioux and S. Ouellet,,,IEEE,,"Emergency departments operate under high patient volume and clinical uncertainty, where early identification of patients at risk of in-hospital mortality remains a major clinical challenge. Traditional systems rely on clinician judgment and rule-based scoring, which can be subjective and slow for highacuity patients. We propose an explainable machine learning framework for early prediction of in-hospital mortality using only information available at arrival, thereby aligning prediction with real-world early assessment constraints and avoiding reliance on retrospectively available hospital data. The approach is evaluated on the Medical Information Mart for Intensive Care and its emergency department subset, combining structured demographics, physiological data, and unstructured chief complaints. Ensemble models achieved strong predictive performance while remaining interpretable via SHapley Additive exPlanations, highlighting age, initial vital signs, prior emergency visits, and arrival mode as key risk factors. These results demonstrate the potential of explainable artificial intelligence to support early risk assessment and improve the identification of emergency department patients at high risk of in-hospital mortality.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Included""}",10.1109/IRASET68627.2026.11538552,Emergency department;in-hospital mortality prediction;ensemble learning;explainable artificial intelligence;electronic health records;SHAP,,
rayyan-601300075,Using Data Mining to Predict Hospital Admissions From the Emergency Department,2018,,,IEEE Access,2169-3536,6,,10458-10469,B. Graham and R. Bond and M. Quinn and M. Mulvenna,,,IEEE,,"Crowding within emergency departments (EDs) can have significant negative consequences for patients. EDs therefore need to explore the use of innovative methods to improve patient flow and prevent overcrowding. One potential method is the use of data mining using machine learning techniques to predict ED admissions. This paper uses routinely collected administrative data (120 600 records) from two major acute hospitals in Northern Ireland to compare contrasting machine learning algorithms in predicting the risk of admission from the ED. We use three algorithms to build the predictive models: 1) logistic regression; 2) decision trees; and 3) gradient boosted machines (GBM). The GBM performed better (accuracy = 80.31%, AUC-ROC = 0.859) than the decision tree (accuracy = 80.06%, AUC-ROC = 0.824) and the logistic regression model (accuracy = 79.94%, AUC-ROC = 0.849). Drawing on logistic regression, we identify several factors related to hospital admissions, including hospital site, age, arrival mode, triage category, care group, previous admission in the past month, and previous admission in the past year. This paper highlights the potential utility of three common machine learning algorithms in predicting patient admissions. Practical implementation of the models developed in this paper in decision support tools would provide a snapshot of predicted admissions from the ED at a given time, allowing for advance resource planning and the avoidance bottlenecks in patient flow, as well as comparison of predicted and actual admission rates. When interpretability is a key consideration, EDs should consider adopting logistic regression models, although GBM’s will be useful where accuracy is paramount.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/ACCESS.2018.2808843,Data mining;emergency department;hospitals;machine learning;predictive models,,
rayyan-601300076,Emergency Department Triage Classification: A Comparative Study with Explainable AI for Small-Data Environments,2026,,,"2026 International Conference on Artificial Intelligence, Systems, and Emerging Technologies (ICAISET)",,,,1-8,A. Saad and T. Houda and S. Houda,,,IEEE,,"Emergency Departments (ED) overcrowding causes delayed treatment, high mortality, and nurse burnout. Manual triage suffers from inter-rater variability and cognitive load. This paper evaluates an automated triage framework using the Korean Triage and Acuity Scale (KTAS) to risk-stratify ED patients (Emergency vs. Non-Emergency). A total of 1,267 encounters were analyzed (24 structured features plus chief complaint text) to compare 18 models across traditional ML, deep learning, and NLP paradigms. We enforced strict leakage prevention by performing all preprocessing after a stratified train-test split. Tuned Random Forest achieved the top recall of 88.44% (95% CI [0.8333, 0.9324]), prioritizing patient safety, while SHAP analysis confirmed clinically valid predictors like injury and pain severity. Most importantly, our results demonstrate that high-performance, safety-critical triage models can be derived from modest datasets (n ≈ 1, 200) without relying on the massive repositories (n > 100, 000) often cited. This suggests that bespoke, high-recall AI tools are viable for smaller clinics, enabling them to deploy ""catered"" models that reflect specific local demographics. Our findings illustrate the potential of interpretable ML-augmented triage as a decision-support tool.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Included""}",10.1109/ICAISET66439.2026.11541334,Deep learning;emergency department;explainable AI;machine learning;natural language processing;triage classification,,
rayyan-601300077,Assessment of Hematological Predictors via Explainable Artificial Intelligence in the Prediction of Acute Myocardial Infarction,2023,,,IEEE Access,2169-3536,11,,108591-108602,R. Yilmaz and F. H. Yagin and A. Raza and C. Colak and T. C. Akinci,,,IEEE,,"Acute myocardial infarction (AMI) is the main cause of death in developed and developing countries. AMI is a serious medical problem that necessitates hospitalization and sometimes results in death. Patients hospitalized in the emergency department (ED) should therefore receive an immediate diagnosis and treatment. Many studies have been conducted on the prognosis of AMI with hemogram parameters. However, no study has investigated potential hemogram parameters for the diagnosis of AMI using an interpretable artificial intelligence-based clinical approach. The purpose of this research is to implement the principles of explainable artificial intelligence (XAI) in the analysis of hematological predictors for AMI. In this retrospective analysis, 477 (48.6%) patients with AMI and 504 (51.4%) healthy individuals were enrolled and assessed in predicting AMI. Of the patients with AMI, 182 (38%) had an ST-segment elevation MI (STEMI), and 295 (62%) had a non-ST-segment elevation MI (NSTEMI). Demographic and hematological information of the patients was analyzed to determine AMI. The XAI approach combined with machine learning approaches (Extreme Gradient Boosting, XGB; Adaptive Boosting, AB; Light Gradient Boosting Machine, LGBM) was applied for the estimation of AMI and distinguishing subgroups of AMI (STEMI and NSTEMI). The SHAP approach was used to explain the predictions intuitively. After selecting the 10 most important hematological parameters for AMI, the LGBM model achieved 83% and 74% accuracy for prediction of AMI, and distinguishing subgroups of AMI (STEMI and NSTEMI), respectively. SHAP results showed that neutrophil (NEU), white blood cell (WBC), platelet width of distribution (PDW), and basophil (BA) were the most important for AMI prediction. Mean corpuscular volume (MCV), BA, monocytes (MO), and lymphocytes (LY) were the most important hematological parameters that distinguish STEMI from NSTEMI. The proposed model serves as a valuable tool for physicians, facilitating the diagnosis, treatment, and follow-up of patients with AMI and distinguishing subgroups of AMI (STEMI and NSTEMI). Analyzing readily accessible hemogram parameters empowers medical professionals to make informed decisions and provide enhanced care to a wide range of individuals.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Included""}",10.1109/ACCESS.2023.3321509,Acute myocardial infarction;NSTEMI;clinical classification;explainable artificial intelligence;SHAP;hematological parameters,,
rayyan-601300078,Tuberculosis Detection Based on Multiple Model Ensemble in Chest X-ray Image,2022,,,2022 10th International Conference on Orange Technology (ICOT),,,,1-4,A. -C. Tsai and Z. -G. Zhou and Y. -Y. Ou and I. J. -F. Wang,,,IEEE,,"Tuberculosis is a legal infectious lung disease, a chronic infectious disease caused by tuberculosis. The diagnosis of the confirmed person is usually judged by chest X-ray images, and the sputum smear is used to detect the presence of tuberculosis in the sputum. Screening high-risk individuals can effectively prevent the spread of tuberculosis; however, chest X-ray image interpretation and sputum testing take a long time. When infectious tuberculosis patients are found, tuberculosis has already spread. We propose a tuberculosis diagnostic triage system and a tuberculosis detection system based on preprocessing of lung image segmentation. In the tuberculosis diagnosis and triage system, AI interpretation is performed immediately after the patient's chest X-ray is taken, and abnormal tuberculosis cases are immediately listed. Lung field cropping through U-Net for classification in the form of a multiple ensemble system, including the use of EfficientNet-BO, Densenet121, and Xception. After marking abnormal lung images, we use a tuberculosis detection system to find patients with tuberculosis and use GRAD-Cam to display the image areas that are of most interest to the model, similar to a heat map, allowing us to know the model Predicting focus areas for tuberculosis. We used specificity, sensitivity, accuracy, and area under the receiver operating characteristic curve (AUROC) to evaluate the classification model performance.","RAYYAN-INCLUSION: {""ANIRBAN""=>""Excluded""}",10.1109/ICOT56925.2022.10008144,convolutional neural network (CNN);chest Xray(CXR);tuberculosis classification;diagnostic triage;lung field cropping;gradient-weighted class activation mapping (Grad-CAM),,
